name,shortname,prop.id,url,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,published_at,voter_participation,approval,version,comments,comment.votes
Proposed Statement Of Work (SOW) For Decred Blockchain Wallet Tutorial Campaign,Tutorial videos,a3def199af812b796887f4eae22e11e45f112b50c2e17252c60ed190933ec14f,https://proposals.decred.org/proposals/a3def199af812b796887f4eae22e11e45f112b50c2e17252c60ed190933ec14f,7821,1997,9818,2019-02-21 22:44:06,2019-03-01 17:41:11,42060,750,1,Marketing,FALSE,Approved,Not a Contractor,Internal,fixed cost,0,2019-02-18 15:41:55,0.233428435568236,79.7,6,37,61
Decentralized Exchange Specification Document,DEX Spec,a4f2a91c8589b2e5a955798d6c0f4f77f2eec13b62063c5f4102c21913dcaf32,https://proposals.decred.org/proposals/a4f2a91c8589b2e5a955798d6c0f4f77f2eec13b62063c5f4102c21913dcaf32,12171,198,12369,2019-06-03 11:55:48,2019-06-11 10:47:29,41120,20000,2,Software Dev,FALSE,Approved,Contractor,Internal,NA,0,2019-05-31 19:00:53,0.300802529182879,98.4,1,11,20
Decred Fundamental Metrics Research Proposal - Phase 2,Checkmate research 2,a677e236cb2e0fdd485980cd5d789e668d00fdc5235d01e7345d2195b8679066,https://proposals.decred.org/proposals/a677e236cb2e0fdd485980cd5d789e668d00fdc5235d01e7345d2195b8679066,7125,1674,8799,2020-02-12 17:33:28,2020-02-20 18:08:20,40963,17500,8,Research,FALSE,Approved,Contractor,Internal,pro rata,1,2020-02-03 15:33:33,0.214803603251715,81,2,39,97
TinyDecred Budget,TinyDecred Development,ad0f9688b3467734e2581604914b2cc32c6eb7991dff460eff41d21f66d88451,https://proposals.decred.org/proposals/ad0f9688b3467734e2581604914b2cc32c6eb7991dff460eff41d21f66d88451,11212,1962,13174,2019-12-02 14:31:50,2019-12-10 13:49:26,40399,30000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2019-11-15 00:25:57,0.326097180623283,85.1,4,19,286
Decred ATM Integration - Approval for Planning Phase,ATM RFP,aea224a561cfed183f514a9ac700d68ba8a6c71dfbee71208fb9bff5fffab51d,https://proposals.decred.org/proposals/aea224a561cfed183f514a9ac700d68ba8a6c71dfbee71208fb9bff5fffab51d,6696,6051,12747,2019-03-25 22:23:56,2019-04-02 22:50:52,40313,1000,1,RFP,FALSE,Rejected,Contractor,External,pro rata,0,2019-02-18 15:41:41,0.31620072929328,52.5,3,39,113
A Journey to the Future of Work- Telling the DCR story through Politeia,Jeremy's Journey,b9f342a0f917abb7a2ab25d5ed0aca63c06fe6dcc9d09565a9cde3b6fe7e6737,https://proposals.decred.org/proposals/b9f342a0f917abb7a2ab25d5ed0aca63c06fe6dcc9d09565a9cde3b6fe7e6737,8787,9284,18071,2019-05-21 18:12:30,2019-05-29 13:42:49,41203,2400,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-05-06 17:43:34,0.438584569084775,48.6,2,66,141
Decred integration into Crypto-ATMs,Bcash ATMs,bb7e19283d5c65fed598d5a2f4afcc2b5d2eab187b9cb84fc4304430f80b5ad1,https://proposals.decred.org/proposals/bb7e19283d5c65fed598d5a2f4afcc2b5d2eab187b9cb84fc4304430f80b5ad1,1471,12504,13975,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,50000,2,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2018-11-28 14:11:01,0.341611870248601,10.5,3,34,86
Decred Brazil Marketing and Events Proposal,Brazil Marketing 1,bc20f986c3ea2fed2ea074c377a89f1a4b956ea0d527a8b6c099a5a8f175beb5,https://proposals.decred.org/proposals/bc20f986c3ea2fed2ea074c377a89f1a4b956ea0d527a8b6c099a5a8f175beb5,8916,4687,13603,2020-03-19 16:47:51,2020-03-27 17:35:30,40493,108000,10,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2020-03-06 19:38:34,0.335934605981281,65.5,3,66,401
Wachsman Communications Proposal for Decred,Wachsman,bc8776180b5ea8f5d19e7d08e9fcc35f0d1e3d16974963e3e5ded65139e7b092,https://proposals.decred.org/proposals/bc8776180b5ea8f5d19e7d08e9fcc35f0d1e3d16974963e3e5ded65139e7b092,7253,19030,26283,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,120000,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2018-10-20 18:49:57,0.641706137995019,27.6,6,73,259
High-Profile Billboard Marketing Campaign,Billboards,bce7bf3cd1f74d571d23ac8a330ddf29a14a547ed0cc9c995f1a97dce733d1e1,https://proposals.decred.org/proposals/bce7bf3cd1f74d571d23ac8a330ddf29a14a547ed0cc9c995f1a97dce733d1e1,2156,10365,12521,2020-04-20 00:06:08,2020-04-27 20:37:19,40859,24450,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-04-09 13:05:12,0.306444112680193,17.2,8,26,50
PR Proposal for Decred by Monde Public Relations ,Monde PR 1,bdd02d82547bd78fc95939c1e2b3df21ebec6e8d31444df5bea3c133b0199f05,https://proposals.decred.org/proposals/bdd02d82547bd78fc95939c1e2b3df21ebec6e8d31444df5bea3c133b0199f05,7253,2771,10024,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,21000,6,Marketing,FALSE,Approved,Not a Contractor,Internal,fixed cost,0,2020-01-10 17:36:30,0.247805987491039,72.4,9,26,48
Decred Open Source Research,Research 1,c68bb790ba0843980bb9695de4628995e75e0d1f36c992951db49eca7b3b4bcd,https://proposals.decred.org/proposals/c68bb790ba0843980bb9695de4628995e75e0d1f36c992951db49eca7b3b4bcd,23453,2574,26027,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,10000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,0,2018-10-16 15:25:15,0.635455832804336,90.1,2,40,170
PR by Monde Public Relations - Phase Two,Monde PR 2,c81926b1958e54b2f294085da4ab03e9a63223f8ccd32e74a43493bf62de6185,https://proposals.decred.org/proposals/c81926b1958e54b2f294085da4ab03e9a63223f8ccd32e74a43493bf62de6185,9396,1015,10411,2020-07-21 21:30:26,2020-07-29 18:53:06,41181,42000,12,Marketing,FALSE,Approved,Contractor,Internal,fixed cost,1,2020-07-10 23:46:05,0.252810762244724,90.3,2,21,53
US Marketing & Project Release Coordination 2020,US Marketing 2020,c830ea5afea45a0aabf4092d1bea51fb10b8bfa2d8474aac03224f0f94d3d1af,https://proposals.decred.org/proposals/c830ea5afea45a0aabf4092d1bea51fb10b8bfa2d8474aac03224f0f94d3d1af,9372,3288,12660,2020-03-19 16:47:51,2020-03-27 17:35:30,40493,177800,12,Marketing,TRUE,Approved,Contractor,Internal,pro rata,1,2020-03-10 15:13:57,0.312646630281777,74,5,58,160
2019 Marketing Plan Funding,2019 Marketing,c84a76685e4437a15760033725044a15ad832f68f9d123eb837337060a09f86e,https://proposals.decred.org/proposals/c84a76685e4437a15760033725044a15ad832f68f9d123eb837337060a09f86e,12216,2571,14787,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,290000,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2019-02-18 15:42:03,0.351502329561662,82.6,1,68,378
Incrementalist Proposal as Small Step to Solving Decred's Liquidity Problem,MM betterfuture,c9604f7879e4b2cd4f2582d238a7ccea210005c63481bec1ddae44ff93e1340f,https://proposals.decred.org/proposals/c9604f7879e4b2cd4f2582d238a7ccea210005c63481bec1ddae44ff93e1340f,NA,NA,NA,NA,NA,NA,0,0,Marketmaking,FALSE,Abandoned,Not a Contractor,Internal,pro rata,0,2019-08-31 10:48:28,NA,NA,3,15,30
Decentralize Treasury Spending,Treasury,c96290a2478d0a1916284438ea2c59a1215fe768a87648d04d45f6b7ecb82c3f,https://proposals.decred.org/proposals/c96290a2478d0a1916284438ea2c59a1215fe768a87648d04d45f6b7ecb82c3f,8958,231,9189,2019-05-05 23:51:34,2019-05-13 22:04:16,40837,250000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2019-04-02 15:37:05,0.225016529127997,97.5,1,43,98
Incentivizing BD Evangelists within the Decred Ecosystem,NA,cb446a469987d6603d93f442ef0d4e45bacbea47a72b5ce89f9c3cac3868d627,https://proposals.decred.org/proposals/cb446a469987d6603d93f442ef0d4e45bacbea47a72b5ce89f9c3cac3868d627,NA,NA,NA,NA,NA,NA,114000,12,Marketing,FALSE,Abandoned,Not a Contractor,External,NA,0,2019-05-27 19:23:42,NA,NA,6,14,22
Smart Reach Partnership Proposal -- Jan 2019,NA,cf7143c93d35f886be03d749396e9202c7837a3d3cbbe876f93c3a7d18ec2028,https://proposals.decred.org/proposals/cf7143c93d35f886be03d749396e9202c7837a3d3cbbe876f93c3a7d18ec2028,NA,NA,NA,NA,NA,NA,0,0,Marketing,FALSE,Abandoned,Not a Contractor,External,NA,0,2018-12-30 23:43:29,NA,NA,1,5,19
Decred Bug Bounty Proposal,Bug Bounty 1,d33a2667469b56942adf42453def6cc2292325251e4cf791e806939ea9efc9e1,https://proposals.decred.org/proposals/d33a2667469b56942adf42453def6cc2292325251e4cf791e806939ea9efc9e1,11065,1186,12251,2018-12-19 22:30:17,2018-12-27 21:36:46,41028,5000,6,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2018-12-04 14:03:33,0.298600955445062,90.3,4,15,51
"DCR to PolisPay App - Gift Cards, Mobile TopUps and Debit Card",PolisPay,d3b16861a7e555db2fdd25b589123f4b6c4289c857fbdff329a4ffb1cb60c4d9,https://proposals.decred.org/proposals/d3b16861a7e555db2fdd25b589123f4b6c4289c857fbdff329a4ffb1cb60c4d9,NA,NA,NA,NA,NA,NA,5000,1,Integration,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2020-03-19 21:12:50,NA,NA,3,6,15
2019 Events Funding,2019 Events,d3e7f159b9680c059a3d4b398de2c8f6627108f28b7d61a3f10397acb4b5e509,https://proposals.decred.org/proposals/d3e7f159b9680c059a3d4b398de2c8f6627108f28b7d61a3f10397acb4b5e509,12571,1488,14059,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,200000,12,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,2019-02-18 15:41:47,0.334197014357707,89.4,1,16,36
Decred - Creative Economy I + D + R [Research and Education proposal],Oscar Know Unknown,d5203291271ad7399dbdf57050e53bbd074a40e746d5778cb5f78596570dc162,https://proposals.decred.org/proposals/d5203291271ad7399dbdf57050e53bbd074a40e746d5778cb5f78596570dc162,189,6158,6347,2020-02-18 18:22:48,2020-02-26 16:18:23,40568,15000,10,Research,PARTIAL,Rejected,Not a Contractor,External,fixed cost,0,2020-02-09 14:37:10,0.156453362255965,3,3,26,104
Decred - Building Revolutionary Infrastructure ,RFP1: Revolutionary,d6ff458cf0dcfed1d45f5a93af2a681ef220732f07a09fb4de934ada928bf1b3,https://proposals.decred.org/proposals/d6ff458cf0dcfed1d45f5a93af2a681ef220732f07a09fb4de934ada928bf1b3,NA,NA,NA,NA,NA,NA,5000,1,RFP,FALSE,Live,Not a Contractor,Internal,pro rata,0,2020-09-28 00:52:44,NA,NA,7,6,3
Supplemental Proposal For Decred Tutorials By Denni Lovejoy,NA,d8d7ff7ad138ed322422aaa4d2a3e1c61f296ae56a2c2316cc5ecd10cf8dd8bd,https://proposals.decred.org/proposals/d8d7ff7ad138ed322422aaa4d2a3e1c61f296ae56a2c2316cc5ecd10cf8dd8bd,NA,NA,NA,NA,NA,NA,6750,0,Marketing,TRUE,Abandoned,Not a Contractor,Internal,fixed cost,0,2019-06-25 13:03:17,NA,NA,2,13,37
Bring decred to Africa (Ghana) Adoption program for merchants and businesses,Ghana merchants,dac06f18bfeb5f7667e56554774de3bb99151018ce16a64f5353bab45819763b,https://proposals.decred.org/proposals/dac06f18bfeb5f7667e56554774de3bb99151018ce16a64f5353bab45819763b,503,8833,9336,2019-04-04 19:11:52,2019-04-12 16:39:12,41008,29314,3,Marketing,FALSE,Rejected,Not a Contractor,External,pro rata,0,2019-03-20 15:23:34,0.227662895044869,5.4,3,45,96
Augmented Reality posters,AR Posters,dedf452074752d7e29304a0566643feb26d1d130596e04c613e15de113ac2d08,https://proposals.decred.org/proposals/dedf452074752d7e29304a0566643feb26d1d130596e04c613e15de113ac2d08,NA,NA,NA,NA,NA,NA,15000,10,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2020-07-16 18:42:45,NA,NA,1,14,22
Content Production for Decred in russian,Russian Content 2,df11d7ac85061e6a02d6503555e585a1a37fffd82101eeea14670537c951926f,https://proposals.decred.org/proposals/df11d7ac85061e6a02d6503555e585a1a37fffd82101eeea14670537c951926f,3093,5624,8717,2020-06-30 00:20:18,2020-07-08 01:38:37,40807,6400,4,Marketing,PARTIAL,Rejected,Not a Contractor,External,pro rata,0,2020-06-19 15:10:30,0.213615311098586,35.5,2,23,60
Decred Open Source Research Program: Phase 3,Richard Research 3,e3675649075a2f92269d8cdc2e1dfd71b16796477df31de7d2868cccfcffb13f,https://proposals.decred.org/proposals/e3675649075a2f92269d8cdc2e1dfd71b16796477df31de7d2868cccfcffb13f,9782,2203,11985,2020-01-19 19:41:49,2020-01-27 16:18:50,40997,25000,6,Research,FALSE,Approved,Contractor,Internal,pro rata,1,2020-01-13 17:11:15,0.292338463790033,81.6,2,27,84
PlusBit-POS-App for Decred (DCR),PlusBit,e559188b0febcab29c49c1f7dd5c66645e31be00894a150ef7d0b8ceb6486605,https://proposals.decred.org/proposals/e559188b0febcab29c49c1f7dd5c66645e31be00894a150ef7d0b8ceb6486605,4823,7526,12349,2019-12-02 14:31:50,2019-12-10 13:49:26,40399,650,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-11-29 14:54:10,0.305675883066413,39.1,1,26,48
Decredex,Decredex,e78bc28631d0e682912e3ece25944481bf978b906ea44b1ed36470c0f48b27fc,https://proposals.decred.org/proposals/e78bc28631d0e682912e3ece25944481bf978b906ea44b1ed36470c0f48b27fc,458,12135,12593,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,1086500,7,Software Dev,FALSE,Rejected,Not a Contractor,External,pro rata,0,2018-11-28 14:10:40,0.307829572954607,3.6,1,43,96
"""Money Evolved"" tagline - plus ""Fair"" box and page added to the site",RFP1: Fair,f0a00d5f7598251820e8ab5bdc184adba980e404216124da91538625ac7c4e0a,https://proposals.decred.org/proposals/f0a00d5f7598251820e8ab5bdc184adba980e404216124da91538625ac7c4e0a,NA,NA,NA,NA,NA,NA,3800,1,RFP,PARTIAL,Live,Contractor,Internal,pro rata,0,2020-09-23 15:25:34,NA,NA,5,22,37
Research & Publication of On-Chain DCRUSD & DCRBTC Indicators,Permabull research,f0d1bd7447182328b44c691de88cb660b63df17f1f3a94990af19acea57c09bb,https://proposals.decred.org/proposals/f0d1bd7447182328b44c691de88cb660b63df17f1f3a94990af19acea57c09bb,9050,1857,10907,2019-09-24 17:07:04,2019-10-02 15:11:21,40941,16500,3,Research,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,2019-09-06 02:00:26,0.266407757504702,83,4,44,117
Invoice PR/HR/Marketing for Decred 2016/2017/2018,Alexsolo invoice,f279ed5695c9aff93e935a4665b67cff2f1032a2baffc6f3474cd0c97f9dde53,https://proposals.decred.org/proposals/f279ed5695c9aff93e935a4665b67cff2f1032a2baffc6f3474cd0c97f9dde53,872,10295,11167,2020-09-28 21:54:37,2020-10-06 20:27:53,40792,12000,0,Marketing,TRUE,Rejected,Not a Contractor,Internal,fixed cost,0,2020-09-23 15:25:10,0.273754657776035,7.8,1,79,110
Baeond: The Futurepunk Autonomous Card Game,Baeond,f545b359fcf1b40b356e9cb556cb422cc7ff01b628b577f804cdc45ce414f5dd,https://proposals.decred.org/proposals/f545b359fcf1b40b356e9cb556cb422cc7ff01b628b577f804cdc45ce414f5dd,354,11459,11813,2019-01-15 14:57:51,2019-01-23 12:51:50,40706,220000,7,Misc,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2018-12-31 14:23:30,0.290202918488675,3,8,24,99
Decred Contractor Clearance Process,DCC,fa38a3593d9a3f6cb2478a24c25114f5097c572f6dadf24c78bb521ed10992a4,https://proposals.decred.org/proposals/fa38a3593d9a3f6cb2478a24c25114f5097c572f6dadf24c78bb521ed10992a4,25320,1136,26456,2018-11-13 18:39:19,2018-11-21 14:20:16,40864,37000,7,Policy,NA,Approved,Contractor,Internal,pro rata,0,2018-10-18 22:43:39,0.647415818324197,95.7,2,44,269
Website for the Decred community,Decredcommunity.org,fb8e6ca361c807168ea0bd6ddbfb7e05896b78f2576daf92f07315e6f8b5cd83,https://proposals.decred.org/proposals/fb8e6ca361c807168ea0bd6ddbfb7e05896b78f2576daf92f07315e6f8b5cd83,9912,3764,13676,2019-02-25 13:52:11,2019-03-05 13:33:36,41347,10000,6,Marketing,PARTIAL,Approved,Contractor,Internal,fixed cost,0,2019-02-22 19:07:42,0.330761603018357,72.5,2,59,160
Amendment to Decred Constitution - 001,Amendment 1,fd56bb79e0383f40fc2d92f4473634c59f1aa0abda7aabe29079216202c83114,https://proposals.decred.org/proposals/fd56bb79e0383f40fc2d92f4473634c59f1aa0abda7aabe29079216202c83114,12008,102,12110,2019-04-28 15:34:46,2019-05-06 12:37:14,40809,0,0,Policy,NA,Approved,Contractor,Internal,NA,0,2019-04-05 19:40:47,0.296748266313803,99.2,1,7,19
DECRED Events & Meetups in the CIS in 2019-2020,Events in CIS,fdd68c87961549750adf29e178128210cb310294080211cf6a35792aa1bb7f63,https://proposals.decred.org/proposals/fdd68c87961549750adf29e178128210cb310294080211cf6a35792aa1bb7f63,393,9685,10078,2019-09-24 17:07:04,2019-10-02 15:11:21,40941,32000,6,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2019-09-10 19:44:00,0.246159107007645,3.9,1,18,43
