name,shortname,prop.id,url,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,published_at,voter_participation,approval,version,comments,comment.votes
Moderation of Decred Communications,Moderation 1,32cba00b8bb0f41689ca8216e2e14a0e3d91a724c83369b3fcda02490dc119f4,https://proposals.decred.org/proposals/32cba00b8bb0f41689ca8216e2e14a0e3d91a724c83369b3fcda02490dc119f4,8720,3263,11983,2020-08-11 20:16:26,2020-08-19 19:20:41,41031,9000,6,Misc,FALSE,Approved,Contractor,Internal,pro rata,0,2020-07-25 22:08:16,0.292047476298408,72.8,2,31,90
"Marketing Decred - Twitter/Social Media, Educational Videos, Ads --- by fst_nml",Marketing fst_nml,3372cfce1218ba81d9c8ca0535cd9dd590f60c92adc068c0089218ae7e3e99e1,https://proposals.decred.org/proposals/3372cfce1218ba81d9c8ca0535cd9dd590f60c92adc068c0089218ae7e3e99e1,NA,NA,NA,NA,NA,NA,10000,3,Marketing,FALSE,Abandoned,Not a Contractor,External,pro rata,0,2020-07-31 12:27:42,NA,NA,2,12,11
Premium Listing for Decred on Easyrabbit,Easyrabbit,34707d34b09c3ebcf0d4aa604e8a08244e8f0f082c0af3f33d85778c93c81434,https://proposals.decred.org/proposals/34707d34b09c3ebcf0d4aa604e8a08244e8f0f082c0af3f33d85778c93c81434,888,16624,17512,2018-11-16 00:35:45,2018-11-23 23:20:42,40778,1500,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2018-10-31 13:32:31,0.42944725096866,5.1,1,15,58
Testing of the funding-request mechanism by a non expert,testing,3575a65bbc3616c939acf6edf801e1168485dc864efef910034268f695351b5d,https://proposals.decred.org/proposals/3575a65bbc3616c939acf6edf801e1168485dc864efef910034268f695351b5d,NA,NA,NA,NA,NA,NA,0.1,1,Misc,TRUE,Abandoned,Not a Contractor,External,NA,0,2018-10-21 20:11:01,NA,NA,1,6,54
Decred Latam Marketing and Events Proposal 2,Latam 2,3c02b677462d6d22d61bf786798e975b38df7a203c2467429d4ec91f75ef0c40,https://proposals.decred.org/proposals/3c02b677462d6d22d61bf786798e975b38df7a203c2467429d4ec91f75ef0c40,9952,6451,16403,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,46000,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,2020-05-19 12:35:31,0.410208317703254,60.7,8,24,59
Decentralized Exchange Development,DEX Development,417607aaedff2942ff3701cdb4eff76637eca4ed7f7ba816e5c0bd2e971602e1,https://proposals.decred.org/proposals/417607aaedff2942ff3701cdb4eff76637eca4ed7f7ba816e5c0bd2e971602e1,14914,1693,16607,2019-08-12 02:41:19,2019-08-19 22:04:19,40712,230000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,2019-08-07 19:56:44,0.407914128512478,89.8,2,16,60
Amin Rafiee: Decred Hackers Congress,Hackers Congress,42b16d2741d58903963d8535e04017bbc3a8193391a83b305f44c082b62e3aa8,https://proposals.decred.org/proposals/42b16d2741d58903963d8535e04017bbc3a8193391a83b305f44c082b62e3aa8,NA,NA,NA,NA,NA,NA,2050,0,Marketing,TRUE,Live,Not a Contractor,External,fixed cost,0,2019-10-04 12:40:53,NA,NA,4,15,32
D.R.E.A.M.,RFP1: DREAM,45323975f533d2c07db33b06dc3e2af5e1c452eb1a68abffb8296aace53ec9a6,https://proposals.decred.org/proposals/45323975f533d2c07db33b06dc3e2af5e1c452eb1a68abffb8296aace53ec9a6,NA,NA,NA,NA,NA,NA,0,0,RFP,NA,Live,Not a Contractor,Internal,NA,0,2020-09-28 00:53:33,NA,NA,1,12,16
Add Decred support to Coffee Wallet,Coffee Wallet,45de9806c952c5ffc2fc6782fddbc74c852c26e3fb0e950144b92d75082c4731,https://proposals.decred.org/proposals/45de9806c952c5ffc2fc6782fddbc74c852c26e3fb0e950144b92d75082c4731,NA,NA,NA,NA,NA,NA,6000,2,Integration,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,2018-12-04 14:04:45,NA,NA,1,7,11
Decred Stickers: Enlarge Decred community,Stickers,4acb95564d36488a7ee64683a84dd7954982b2f4743e2f7a15477231f863442f,https://proposals.decred.org/proposals/4acb95564d36488a7ee64683a84dd7954982b2f4743e2f7a15477231f863442f,421,8082,8503,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,1400,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,2020-01-07 16:40:57,0.210204939309288,5,3,24,60
