name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
Trust Wallet - Integration with Decred,Trust Wallet,2ababdea7da2b3d8312a773d477272135a883ed772ba99cdf31eddb5f261d571,6239,3075,9314,2019-03-26 21:41:53,2019-04-03 20:53:42,40799,3300,1,Integration,FALSE,Approved,Not a Contractor,External,fixed cost,0,0.228289909066399,67,21
Grassroots Marketing - growing the Decred community (withDecred.org),withDecred.org,2bf72e68ff0702e4efce82dcefd0168893bae60af235f26014e5d7a7907e8255,9229,5672,14901,2020-09-28 21:54:37,2020-10-06 20:27:53,40792,6485,5,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.365292214159639,61.9,18
A practical marketing opportunity - Massively boost the use case for DCR,Travala integration,2dcbc3e14c06c6e84449f5e2756b944d5ed23be41c23a9f5225f3eef424ce0ae,1428,8272,9700,2020-08-11 20:16:26,2020-08-19 19:20:41,41031,51500,2,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.236406619385343,14.7,15
i2 Trading: DCR Market Making,MM i2,2eb7ddb29f151691ba14ac8c54d53f6692c1f5e8fe06244edf7d3c33fb440bd9,11401,5280,16681,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,270000,6,Marketmaking,FALSE,Approved,Not a Contractor,External,fixed cost,0,0.409148883983321,68.3,55
DCR Comic: a visual guide to Decred,DCR Comic 1,2ef74fa5f0b558442cb85b1235c8c551a51ff5d8b8de44dead48b8b59c8fc1de,7340,3937,11277,2019-10-16 15:31:11,2019-10-24 16:05:21,40916,10800,3,Marketing,PARTIAL,Approved,Not a Contractor,Internal,fixed cost,0,0.275613451950337,65.1,27
DCR Comic: a visual guide to Decred - Season 2,DCR Comic 2,2f08f8518bc7672069a10ac6461fd9ab341d4a9e4c343fd4a7ec426250f3896f,3926,4009,7935,2020-04-09 00:25:59,2020-04-16 21:53:26,41261,16200,7,Marketing,FALSE,Rejected,Contractor,Internal,fixed cost,1,0.192312353069484,49.5,22
RFP: Decred Designated Market Maker,MM RFP,30822c16533890abc6e243eb6d12264b207c3923c14af42cd9b883e71c7003cd,14074,2093,16167,2019-08-14 21:36:21,2019-08-22 19:11:49,41356,0,0,RFP,NA,Approved,Not a Contractor,Internal,NA,0,0.39092271979882,87.1,89
Moderation of Decred Communications,Moderation 1,32cba00b8bb0f41689ca8216e2e14a0e3d91a724c83369b3fcda02490dc119f4,8720,3263,11983,2020-08-11 20:16:26,2020-08-19 19:20:41,41031,9000,6,Misc,FALSE,Approved,Contractor,Internal,pro rata,0,0.292047476298408,72.8,31
"Marketing Decred - Twitter/Social Media, Educational Videos, Ads --- by fst_nml",Marketing fst_nml,3372cfce1218ba81d9c8ca0535cd9dd590f60c92adc068c0089218ae7e3e99e1,NA,NA,NA,NA,NA,NA,10000,3,Marketing,FALSE,Abandoned,Not a Contractor,External,pro rata,0,NA,NA,12
Premium Listing for Decred on Easyrabbit,Easyrabbit,34707d34b09c3ebcf0d4aa604e8a08244e8f0f082c0af3f33d85778c93c81434,888,16624,17512,2018-11-16 00:35:45,2018-11-23 23:20:42,40778,1500,1,Integration,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.42944725096866,5.1,15
Testing of the funding-request mechanism by a non expert,testing,3575a65bbc3616c939acf6edf801e1168485dc864efef910034268f695351b5d,NA,NA,NA,NA,NA,NA,0.1,1,Misc,TRUE,Abandoned,Not a Contractor,External,NA,0,NA,NA,6
Decred Latam Marketing and Events Proposal 2,Latam 2,3c02b677462d6d22d61bf786798e975b38df7a203c2467429d4ec91f75ef0c40,9952,6451,16403,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,46000,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,1,0.410208317703254,60.7,24
Decentralized Exchange Development,DEX Development,417607aaedff2942ff3701cdb4eff76637eca4ed7f7ba816e5c0bd2e971602e1,14914,1693,16607,2019-08-12 02:41:19,2019-08-19 22:04:19,40712,230000,12,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,0,0.407914128512478,89.8,16
Amin Rafiee: Decred Hackers Congress,Hackers Congress,42b16d2741d58903963d8535e04017bbc3a8193391a83b305f44c082b62e3aa8,NA,NA,NA,NA,NA,NA,2050,0,Marketing,TRUE,Live,Not a Contractor,External,fixed cost,0,NA,NA,15
D.R.E.A.M.,RFP1: DREAM,45323975f533d2c07db33b06dc3e2af5e1c452eb1a68abffb8296aace53ec9a6,5586,6100,11686,2020-10-15 00:00:01,2020-10-22 00:00:01,40765,0,0,RFP,NA,Rejected,Not a Contractor,Internal,NA,0,0.286667484361585,0.47800787266815,12
Add Decred support to Coffee Wallet,Coffee Wallet,45de9806c952c5ffc2fc6782fddbc74c852c26e3fb0e950144b92d75082c4731,NA,NA,NA,NA,NA,NA,6000,2,Integration,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,7
Decred Stickers: Enlarge Decred community,Stickers,4acb95564d36488a7ee64683a84dd7954982b2f4743e2f7a15477231f863442f,421,8082,8503,2020-01-14 21:28:51,2020-01-22 17:03:17,40451,1400,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.210204939309288,5,24
CoinStory - The History and Evolution of Cryptocurrencies (Book),CoinStory,4affceb07f5b8126366e8b73ed3d164ebc010bc6fefba19375c4c2e2b252beb0,1576,11956,13532,2020-06-01 00:01:53,2020-06-08 20:46:09,39987,500,5,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.338409983244554,11.6,24
Grapefruit Trading Market Making proposal,MM Grapefruit,4becbe00bd5ae93312426a8cf5eeef78050f5b8b8430b45f3ea54ca89213f82b,6286,7059,13345,2019-09-04 01:17:12,2019-09-11 21:46:09,40770,185000,6,Marketmaking,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.327324012754476,47.1,41
Design of Social Media Memes for Decred,Memes,4f810317e07d134520faa6fd98a14b4c3e08c38227501558a90c1457c939ecd1,NA,NA,NA,NA,NA,NA,2958,2,Marketing,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,23
Sweepstakes,Sweepstakes,517ac6598031e17e3e301d41e73a62e4a7c10ee6dafb3dc65fbdd32f550971b0,NA,NA,NA,NA,NA,NA,0,0,Misc,FALSE,Abandoned,Not a Contractor,External,fixed cost,0,NA,NA,17
"Change language: PoS Mining to PoS Voting, Stakepool to Voting Service Provider",Stakepool>VSP,522652954ea7998f3fca95b9c4ca8907820eb785877dcf7fba92307131818c75,23789,1508,25297,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,0,0,Policy,NA,Approved,Contractor,Internal,NA,0,0.617632696909029,94,19
