"","name","url","yes_votes","no_votes","total_votes","ticket_representation","voting_startdate","voting_enddate","eligible_tickets","cost","duration","domain","arrears","state","contractor","internal","author","submitted_at","published_at"
"36","Decred Fundamental Metrics Research Proposal - Phase 1","https://proposals.decred.org/proposals/78b50f218106f5de40f9bd7f604b048da168f2afbec32c8662722b70d62e4d36",10630,889,11519,28.3649347451367,"2019-07-29 12:51:10","2019-08-06 10:27:11",40610,12000,3,"Research","PARTIAL","Approved",FALSE,"Internal","ee69df0bdf51299b5b2db07c0ae8eab99968632632eba228271a68c661142323",1563517368,1563451299
"37","Decred Bug Bounty Proposal","https://proposals.decred.org/proposals/d33a2667469b56942adf42453def6cc2292325251e4cf791e806939ea9efc9e1",11065,1186,12251,29.8600955445062,"2018-12-19 22:30:17","2018-12-27 21:36:46",41028,5000,6,"Software Development","FALSE","Approved",TRUE,"Internal","d18e6dc2871b96d4e0966f3a5d95acc3c1024b7557b15d24597080e4daa68a66",1544287240,1543932213
"38","i2 Trading: DCR Market Making","https://proposals.decred.org/proposals/2eb7ddb29f151691ba14ac8c54d53f6692c1f5e8fe06244edf7d3c33fb440bd9",11401,5280,16681,40.9148883983321,"2019-09-04 01:17:12","2019-09-11 21:46:09",40770,270000,6,"Marketmaking","FALSE","Approved",FALSE,"External","9772402a280884cdfa9a6708ab4e2e09ddc06ae2ac2c1a920eb33398c0a8a456",1566935042,1565204176
"39","Decred Open Source Research","https://proposals.decred.org/proposals/c68bb790ba0843980bb9695de4628995e75e0d1f36c992951db49eca7b3b4bcd",11854,1287,13141,32.0840861370184,"2018-10-28 20:04:24","2018-11-05 19:26:12",40958,10000,6,"Research","FALSE","Approved",TRUE,"Internal","cd6e57b93f95dd0386d670c7ce42cb0ccd1cd5b997e87a716e9359e20251994e",1540227907,1539699915
"40","Change language: PoS Mining to PoS Voting, Stakepool to Voting Service Provider","https://proposals.decred.org/proposals/522652954ea7998f3fca95b9c4ca8907820eb785877dcf7fba92307131818c75",11991,754,12745,31.1172420528346,"2018-10-28 20:04:24","2018-11-05 19:26:12",40958,0,0,"Policy",NA,"Approved",TRUE,"Internal","cd6e57b93f95dd0386d670c7ce42cb0ccd1cd5b997e87a716e9359e20251994e",1539880429,1539898457
"41","Amendment to Decred Constitution - 001","https://proposals.decred.org/proposals/fd56bb79e0383f40fc2d92f4473634c59f1aa0abda7aabe29079216202c83114",12008,102,12110,29.6748266313803,"2019-04-28 15:34:46","2019-05-06 12:37:14",40809,0,0,"Policy",NA,"Approved",TRUE,"Internal","cd6e57b93f95dd0386d670c7ce42cb0ccd1cd5b997e87a716e9359e20251994e",1554310214,1554489647
"42","Decred Bug Bounty Proposal: Phase 2","https://proposals.decred.org/proposals/073694ed82d34b2bfff51e35220e8052ad4060899b23bc25791a9383375cae70",12020,830,12850,31.4981860966761,"2019-06-23 11:19:47","2019-07-01 07:36:56",40796,6500,12,"Software Development","FALSE","Approved",TRUE,"Internal","d18e6dc2871b96d4e0966f3a5d95acc3c1024b7557b15d24597080e4daa68a66",1561194253,1560618984
"43","Decred Open Source Research proposal: Phase 2","https://proposals.decred.org/proposals/67de0e901143400ae2f247391c4d5028719ffea8308fbc5854745ad859fb993f",12089,1312,13401,32.443228586646,"2019-06-02 22:11:46","2019-06-10 20:44:33",41306,20000,6,"Research","FALSE","Approved",TRUE,"Internal","cd6e57b93f95dd0386d670c7ce42cb0ccd1cd5b997e87a716e9359e20251994e",1559242090,1559232253
"44","Decentralized Exchange Specification Document","https://proposals.decred.org/proposals/a4f2a91c8589b2e5a955798d6c0f4f77f2eec13b62063c5f4102c21913dcaf32",12171,198,12369,30.0802529182879,"2019-06-03 11:55:48","2019-06-11 10:47:29",41120,20000,2,"Software Development","FALSE","Approved",TRUE,"Internal","e575447e1acb624bedb7c7934f291e3c1b51bb7223f2c06647e551e4cf93f360",1559311024,1559325653
"45","2019 Marketing Plan Funding","https://proposals.decred.org/proposals/c84a76685e4437a15760033725044a15ad832f68f9d123eb837337060a09f86e",12216,2571,14787,35.1502329561662,"2019-02-22 00:10:54","2019-03-01 19:02:51",42068,290000,12,"Marketing","FALSE","Approved",TRUE,"Internal","2cfe1335346e419a3f00fc3672c1a53ebcc1c15f48d3e9e174af7356be14bc5a",1550264838,1550504523
"46","2019 Events Funding","https://proposals.decred.org/proposals/d3e7f159b9680c059a3d4b398de2c8f6627108f28b7d61a3f10397acb4b5e509",12571,1488,14059,33.4197014357707,"2019-02-22 00:10:54","2019-03-01 19:02:51",42068,2e+05,12,"Marketing","FALSE","Approved",TRUE,"Internal","2cfe1335346e419a3f00fc3672c1a53ebcc1c15f48d3e9e174af7356be14bc5a",1550185756,1550504507
"47","Decred Contractor Clearance Process","https://proposals.decred.org/proposals/fa38a3593d9a3f6cb2478a24c25114f5097c572f6dadf24c78bb521ed10992a4",12660,568,13228,32.3707909162099,"2018-11-13 18:39:19","2018-11-21 14:20:16",40864,37000,7,"Policy",NA,"Approved",TRUE,"Internal","e575447e1acb624bedb7c7934f291e3c1b51bb7223f2c06647e551e4cf93f360",1542149534,1539899019
"48","TinyDecred: A Python Toolkit for Decred","https://proposals.decred.org/proposals/20e967dad9e7398901decf3cfe0acf4e0853f6558a62607265c63fe791b8b124",12837,786,13623,33.1564728502933,"2019-08-05 19:52:42","2019-08-13 19:03:25",41087,8000,0,"Software Development","TRUE","Approved",TRUE,"Internal","7e0d27a299b37423a7951e30361c178fdd6cbdc731b62a6c33c1185aabd5e60a",1564504124,1564504224
"49","Ditto Communications Proposal for Decred","https://proposals.decred.org/proposals/27f87171d98b7923a1bd2bee6affed929fa2d2a6e178b5c80a9971a92a5c7f50",13206,7985,21191,51.7383661311588,"2018-10-28 20:04:24","2018-11-05 19:26:12",40958,150000,6,"Marketing","FALSE","Approved",FALSE,"External","9f0a8ad970275393d70d9bca8b33847c1747f9a276a0fca5b88ef51767af25fc",1540415915,1540149047
"50","Block Header Commitments Consensus Change","https://proposals.decred.org/proposals/0a1ff846ec271184ea4e3a921a3ccd8d478f69948b984445ee1852f272d54c58",13758,116,13874,33.5112678437719,"2019-06-02 17:48:25","2019-06-10 16:15:01",41401,20000,1,"Software Development","FALSE","Approved",TRUE,"Internal","937e0161deb065604266635e24506e1e79c8cbbd27c7a83483a56ff1b2293f9b",1559231975,1559232228
"51","RFP: Decred Designated Market Maker","https://proposals.decred.org/proposals/30822c16533890abc6e243eb6d12264b207c3923c14af42cd9b883e71c7003cd",14074,2093,16167,39.092271979882,"2019-08-14 21:36:21","2019-08-22 19:11:49",41356,0,0,"RFP",NA,"Approved",FALSE,"Internal","db4f9959fdc395bf2db48e1992d58d5366f05397345e3985b901b0294993a6f8",1565473151,1565471933
"52","RFP: Decred Decentralized Exchange Infrastructure","https://proposals.decred.org/proposals/5431da8ff4eda8cdbf8f4f2e08566ffa573464b97ef6d6bae78e749f27800d3a",14411,1256,15667,38.5839182366704,"2019-03-04 16:24:06","2019-03-12 14:43:36",40605,0,0,"RFP",NA,"Approved",TRUE,"Internal","e575447e1acb624bedb7c7934f291e3c1b51bb7223f2c06647e551e4cf93f360",1551795054,1549292418
"53","Decentralized Exchange Development","https://proposals.decred.org/proposals/417607aaedff2942ff3701cdb4eff76637eca4ed7f7ba816e5c0bd2e971602e1",14914,1693,16607,40.7914128512478,"2019-08-12 02:41:19","2019-08-19 22:04:19",40712,230000,12,"Software Development","FALSE","Approved",TRUE,"Internal","22b54aa3030d05ebb4ab31c5c719b8fec9d979928ce517222fe80195e0d3596d",1565480531,1565204204
